text,category
No Negative,Negative
 N A,Negative
 The indication of access to the rooms can be improved ,Negative
No Negative,Negative
No Negative,Negative
 Uncomfortable bed and expensive breakfast,Negative
 Average size room,Negative
 Printer was t working in business centre Wifi problems in room,Negative
 Couldn t get free wifi to work ,Negative
 Poor quality Wi Fi was hit and miss and slow Too few TV channels I could see programs on the guide I could not access ,Negative
 Breakfast buffet was fair but not great ,Negative
 Eggs,Negative
 The tv in the room Not only small but couldn t be rotated to watch TV in bed ,Negative
No Negative,Negative
 The fridge in the room was soooo noisy Could barely sleep Room was tiny ,Negative
No Negative,Negative
 Small room configuration of the bathroom was cramped ,Negative
 Room was too small,Negative
 Room could be warmer air conditioning heating and not great,Negative
 Small room,Negative
 room was not ready,Negative
 Nothing,Negative
 Swim Pool not included in the already high nightly rate ,Negative
 Had to pay extra to use the hotel facilities pool gym sauna etc ,Negative
No Negative,Negative
 Slightly bigger room,Negative
No Negative,Negative
 Discount at the bar for drinks,Negative
 Small room,Negative
 Key caEd didn t work twice long walk back to reception,Negative
 Payed 191 for an executive room that was more like a standard room,Negative
 Room is small,Negative
No Negative,Negative
 It took 2 hours to check in ,Negative
 Room very small Bed sheet never change have to ask to change ,Negative
No Negative,Negative
 SPA breakfast costs additionally Jacuzzi in SPA very small ,Negative
 Everything,Negative
 Poorly trained front desk staff Slow incompetent and lacking enthusiasm,Negative
 small bedroom ,Negative
 x mas dinner was a little disappointing with not much selection options ,Negative
No Negative,Negative
 Cold showers and a cleaner knocking on the door waking us twice before check out ,Negative
 Rooms for club were no doubt different to standard staff rude bad check in experience dirty,Negative
 No toiletries in room and icky towels for one person even though room booked for two ,Negative
 Staff was really bad Doorman did not help to curry luggage and reception was not kind either ,Negative
 Nothing,Negative
 Bathroom tiny and freezing Room cold,Negative
 Nothing,Negative
 Small room,Negative
 The staff were rude they charged us 3 times for the hotel wich then left us not being able to afford anything,Negative
 Everything No what was advertised,Negative
 The lighting in the bathroom wasn t over the mirror,Negative
 None,Negative
 delays in checking in difficulty in getting wifi,Negative
 Ne waking up by the fire s alarm with no explication,Negative
 Reception staff were miserable and appeared not to care ,Negative
 We booked kensington close hotel and it turned out to be a holiday inn with no prior warning,Negative
 Smoke alarm went off without obvious cause took a awhile to stop ,Negative
 Prices in bar very high,Negative
 Bar and cafe prices are too high,Negative
 Staff were rude messed up our rooms Bad customer service,Negative
 Nothing,Negative
 very dissapointed in the room,Negative
 Paid for executive room and got standard They did sort it out however ,Negative
 nothing,Negative
 Check in very slow and was overcharged on check out Room very small for executive double room ,Negative
 Front desk surly staff Dirty bathroom 4 staff intrusions to my room Complained on departure C still await response,Negative
No Negative,Negative
 Waiting 20 minutes to check in room was slightly larger than my closet,Negative
 The staff the price the payment process and the Sprite ,Negative
 Having to pay for the swiming pool and gym,Negative
 Toast took long time to pop,Negative
 Check in seemed slow ,Negative
 Deposit,Negative
 Couldnt find much to eat at breakfeast Every day it was exactly the same I dont eat pork so there were very limited food for me on the breakseast ,Negative
 Bathroom,Negative
 THE STAFF WERE TERRIBLE UNHELPFUL SLOW AND WITH A COULDN T CARE LESS ATITUDE PARKING OF THE LACK OF IT WAS HORRENDOUS,Negative
 Staff couldn t get our room right for the slipe catds Wrong room number 3 times,Negative
 Everything,Negative
 Advertised with a bath but only had shower we did ask to be moved but they said they didn t have any other rooms with baths ,Negative
No Negative,Negative
No Negative,Negative
 Vents in Bathroom could be cleaned,Negative
 the bedroom was very small and the bathroom was miniscule,Negative
 Tiny,Negative
 The TV couldn t be watched from the bed which was pretty inconvenient,Negative
